content_id,product_ids,lengths
af37,['aad4'],1
af39,"['aaab', '1391']",2
c8a8,['e1c0'],1
c8ab,['2a1f'],1
c8c8,['fd30'],1
c8e4,['996e'],1
c964,['4d36'],1
c9ec,['6e02'],1
ca18,['14d0'],1
ca4a,['02e6'],1
4e27,['2a19'],1
4e30,['98f7'],1
4e36,['4d29'],1
4e3c,['12db'],1
518d,['9c76'],1
526d,['ed74'],1
5291,['0f6c'],1
52f0,['6f01'],1
532b,['e374'],1
5b42,"['277f', '2605']",2
5b61,['e262'],1
5bcf,"['bfa3', 'bf88']",2
6a7f,['e3c0'],1
6abe,"['022b', '0450', '0381']",3
6aef,"['e1c3', 'e22e']",2
6af3,"['29f6', '29ed', '2a01']",3
6fd9,['e1a7'],1
6fe3,"['03b4', '022b']",2
6fff,"['ed71', 'ed68', 'ed6e', 'ed6b']",4
7007,['9b0d'],1
700a,['3e43'],1
730f,['e361'],1
735d,"['3460', '3472', '344e', '343c', '342a', '3457', '3469', '3445', '341e', '347b', '3433']",11
738d,['32d3'],1
73b6,['3355'],1
749f,"['9b65', '9b7b']",2
74aa,"['9b65', '9b7b']",2
74fb,['b8f6'],1
7504,['043f'],1
c5c7,"['3822', '384c', '3846', '3840']",4
c5e5,['3e46'],1
c610,['3867'],1
c632,['388b'],1
c6b4,"['35e2', '35d9']",2
c6ed,['3876'],1
c717,"['3770', '3779', '37b7', '37be']",4
c746,"['3843', '384f']",2
c768,"['3779', '3770']",2
c790,['3e46'],1
c7b6,"['3843', '384f']",2
c7e1,['35eb'],1
c7ef,['338e'],1
c7f1,['030d'],1
c822,"['e221', 'e2bd']",2
c83b,['05c3'],1
c841,['9992'],1
c860,['e0eb'],1
c87a,['0345'],1
d4f0,['2a1c'],1
d523,['1104'],1
d542,"['6e44', '6e4a', '6e4d', '6e41', '6e50', '6e47', '6e3e']",7
d58a,"['c548', 'c506', 'c509']",3
d5ac,['6692'],1
d5ca,['c570'],1
d5d0,['4dab'],1
d609,['be52'],1
d61d,['0209'],1
d64e,['1128'],1
d67a,['6e6e'],1
d69a,['9b0d'],1
d6d7,['24a0'],1
d72a,"['9b0a', '9b10']",2
d74e,"['9903', '98fa']",2
d7ec,['e175'],1
23e9,['e281'],1
24a2,['4c2c'],1
